JE Code,Store,Country,Region,Date,Item,Salesperson,List Price,Actual Price,Discount %
I-1064,Kansas City,USA,NA,2/17/2017,Washing Machine,Christina Pedley,800,648,19.00%
I-1065,Shenzhen,China,APAC,3/16/2014,Refrigerator,Ronald Butler,1000,990,1.00%
I-1066,Prague,Czech Republic,EMEA,4/23/2017,Washing Machine,David Stewart,800,720,10.00%
I-1067,Shenzhen,China,APAC,04-12-14,Toaster,Gary Shaw,50,39,22.00%
I-1068,Amsterdam,Netherlands,EMEA,10-12-16,Ceiling fan,Donald Barratt,150,144,4.00%
I-1069,Shanghai,China,APAC,9/15/2016,Air conditioner,Wolf Christian,700,693,1.00%
I-1070,Mexico City,Mexico,LATAM,7/26/2018,Toaster,Brendon Dyer,50,45,10.00%
I-1071,Buenos Aires,Argentina,LATAM,01-10-18,Refrigerator,Stuart Brown,1000,570,43.00%
I-1072,Shanghai,China,APAC,2/19/2014,Blender,Alen Dinan,50,40,20.00%
I-1073,Berlin,Germany,EMEA,11/17/2017,Washing Machine,Jacqueline Clamp,800,608,24.00%
I-1074,Birmingham,UK,EMEA,7/17/2016,Microwave,Susan Reay,80,76,5.00%
I-1075,Dublin,Ireland,EMEA,4/29/2017,Air conditioner,Andrew Phillips,700,679,3.00%
I-1076,Seattle,USA,NA,8/15/2014,Microwave,Alan Davie,80,58,27.50%
I-1077,Madria,Spain,EMEA,3/14/2018,Iron,Penelope Freeland,30,26,13.33%
I-1078,Shanghai,China,APAC,06-10-17,Ceiling fan,Michelle Murray,150,140,6.67%
I-1079,Bangalore,India,APAC,8/31/2016,Oven,Paul Rule,500,490,2.00%
I-1080,Istanbul,Turkey,EMEA,8/23/2015,Vacuum Cleaner,Ian McCartan,250,155,38.00%
I-1081,Bogota,Colombia,LATAM,8/24/2015,Coffee grinder,Shelley Mannix,70,48,31.43%
I-1082,Lima,Peru,LATAM,11-04-18,Coffee grinder,Janet Ford,70,69,1.43%
I-1083,Vienna,Austria,EMEA,12/16/2017,Toaster,Janet Ward,50,47,6.00%
I-1084,Sao Paolo,Brazil,LATAM,11/25/2014,Vacuum Cleaner,Gary Reynolds,250,195,22.00%
I-1085,Shanghai,China,APAC,07-12-18,Washing Machine,Craig Johnson,800,512,36.00%
I-1086,Shanghai,China,APAC,3/16/2018,Microwave,Christopher Snape,80,79,1.25%
I-1087,Cairo,Egypt,EMEA,6/14/2015,Coffee grinder,John Barnett,70,50,28.57%
I-1088,Kansas City,USA,NA,7/15/2014,Ceiling fan,Robert Jenkins,150,150,0.00%
I-1089,Kuala Lumpur,Malaysia,APAC,4/22/2016,Coffee grinder,Trudi Griffin,70,64,8.57%
I-1090,Warsaw,Poland,EMEA,03-03-15,Toaster,Valerie Brown,50,46,8.00%
I-1091,Moscow,Russia,EMEA,11/20/2014,Refrigerator,Dermot Bailey,1000,880,12.00%
I-1092,Buenos Aires,Argentina,LATAM,01-03-14,Washing Machine,Abdul Heywood,800,712,11.00%
I-1093,Bangkok,Thailand,APAC,7/15/2017,Refrigerator,Mary Mitchell,1000,740,26.00%
I-1094,Tel Aviv,Israel,EMEA,2/15/2015,Blender,Richard McGrath,50,35,30.00%
I-1095,Prague,Czech Republic,EMEA,11/27/2017,Washing Machine,Edward Khan,800,704,12.00%
I-1096,Osaka,Japan,APAC,08-04-18,Refrigerator,Neil McAvoy,1000,930,7.00%
I-1097,Madria,Spain,EMEA,6/30/2017,Dishwasher,Howard Jones,500,455,9.00%
I-1098,Chicago,USA,NA,10/29/2014,Air conditioner,Heather McGill,700,700,0.00%
I-1099,Kuala Lumpur,Malaysia,APAC,11-12-16,Microwave,Trudi Griffin,80,77,3.75%
I-1100,Moscow,Russia,EMEA,4/27/2018,Iron,Alexander Hillier,30,29,3.33%
I-1101,Jerusalem,Israel,EMEA,05-04-17,Blender,Fiona Johnson,50,50,0.00%
I-1102,Moscow,Russia,EMEA,4/17/2018,Air conditioner,Rita Hill,700,679,3.00%
I-1103,Shenzhen,China,APAC,7/13/2014,Blender,Gary Shaw,50,45,10.00%
I-1104,Bangkok,Thailand,APAC,3/17/2016,Iron,Stephen Burch,30,30,0.00%
I-1105,Lima,Peru,LATAM,7/24/2018,Iron,Claire Storey,30,30,0.00%
I-1106,Berlin,Germany,EMEA,11/18/2015,Microwave,James Whitehead,80,62,22.50%
I-1107,New York,USA,NA,9/22/2014,Microwave,Barbara Turner,80,76,5.00%
I-1108,Rome,Italy,EMEA,1/30/2017,Toaster,Audrey Kane,50,45,10.00%
I-1109,Cairo,Egypt,EMEA,09-05-15,Refrigerator,Robert Payne,1000,610,39.00%
I-1110,Sao Paolo,Brazil,LATAM,10/17/2015,Coffee grinder,Cheryl Tubbs,70,67,4.29%
I-1111,Riyadh,Saudi Arabia,EMEA,10-04-17,Coffee grinder,Victoria Sherwin,70,68,2.86%
I-1112,Cairo,Egypt,EMEA,10/16/2017,Toaster,Marek Kwiatkowski,50,50,0.00%
I-1113,Berlin,Germany,EMEA,7/21/2014,Oven,Kate Pearce,500,495,1.00%
I-1114,Ho Chi Minh City,Vietnam,APAC,07-09-14,Coffee grinder,Ken Rogerson,70,62,11.43%
I-1115,Amsterdam,Netherlands,EMEA,04-11-17,Oven,Danny Grant,500,490,2.00%
I-1116,Lima,Peru,LATAM,11-03-17,Microwave,Jacqueline Swaine,80,73,8.75%
I-1117,Istanbul,Turkey,EMEA,11-01-16,Air conditioner,Mark Buntain,700,616,12.00%
I-1118,Bucharest,Romania,EMEA,12-12-16,Iron,Constance Tidey,30,30,0.00%
I-1119,Delhi,India,APAC,11/16/2015,Iron,Roy Johnson,30,23,23.33%
I-1120,Kansas City,USA,NA,9/19/2015,Toaster,Christina Pedley,50,36,28.00%
I-1121,Madria,Spain,EMEA,4/17/2014,Oven,Barrie Murray,500,490,2.00%
I-1122,Prague,Czech Republic,EMEA,10-09-14,Washing Machine,Andrew Waddell,800,672,16.00%
I-1123,Istanbul,Turkey,EMEA,02-11-17,Oven,Richard Barr,500,490,2.00%
I-1124,Kuala Lumpur,Malaysia,APAC,3/15/2016,Ceiling fan,Ian Baker,150,140,6.67%
I-1125,San Fransisco,USA,NA,1/19/2018,Oven,Gillan Clark,500,495,1.00%
I-1126,Athens,Greece,EMEA,4/28/2018,Ceiling fan,Sarah Chadwick,150,150,0.00%
I-1127,Birmingham,UK,EMEA,3/13/2014,Iron,Robert Reed,30,29,3.33%
I-1128,San Fransisco,USA,NA,8/28/2015,Oven,James Scott,500,500,0.00%
I-1129,Osaka,Japan,APAC,07-07-14,Refrigerator,Denise Clark,1000,510,49.00%
I-1130,Chicago,USA,NA,2/22/2016,Oven,Paul Collier,500,490,2.00%
I-1131,Moscow,Russia,EMEA,11-12-17,Toaster,Zulfiqar Mirza,50,50,0.00%
I-1132,Madria,Spain,EMEA,06-07-16,Air conditioner,Philip Sutherland,700,665,5.00%
I-1133,Los Angeles,USA,NA,02-08-14,Vacuum Cleaner,Chandrakant Atkins,250,175,30.00%
I-1134,Seattle,USA,NA,10/30/2016,Blender,Derek Harris,50,48,4.00%
I-1135,Madria,Spain,EMEA,4/19/2016,Ceiling fan,Penelope Freeland,150,146,2.67%
I-1136,Bangkok,Thailand,APAC,5/25/2015,Ceiling fan,Mary Mitchell,150,143,4.67%
I-1137,Paris,France,EMEA,05-10-15,Coffee grinder,Joanne Sayer,70,57,18.57%
I-1138,Riyadh,Saudi Arabia,EMEA,07-11-17,Blender,Victoria Sherwin,50,46,8.00%
I-1139,Bogota,Colombia,LATAM,12/25/2017,Iron,Lisa Manning,30,27,10.00%
I-1140,Athens,Greece,EMEA,05-04-14,Dishwasher,Mark Lawton,500,500,0.00%
I-1141,Bucharest,Romania,EMEA,07-07-18,Dishwasher,Jacqueline Todd,500,500,0.00%
I-1142,Birmingham,UK,EMEA,03-11-18,Vacuum Cleaner,Philip Collins,250,225,10.00%
I-1143,Cairo,Egypt,EMEA,05-10-15,Iron,Basil Bain,30,26,13.33%
I-1144,Bogota,Colombia,LATAM,1/28/2016,Iron,Lisa Manning,30,27,10.00%
I-1145,Jerusalem,Israel,EMEA,09-12-15,Blender,John Bond,50,34,32.00%
I-1146,Tokyo,Japan,APAC,08-11-18,Oven,Tony Milner,500,500,0.00%
I-1147,Vienna,Austria,EMEA,4/30/2017,Refrigerator,Peter Thompson,1000,780,22.00%
I-1148,Tijuana,Mexico,LATAM,05-03-17,Vacuum Cleaner,Stephen Carlin,250,245,2.00%
I-1149,Madria,Spain,EMEA,1/20/2017,Washing Machine,Roy Lloyd,800,784,2.00%
I-1150,Kansas City,USA,NA,07-05-18,Coffee grinder,Nick Gee,70,60,14.29%
I-1151,Toronto,Canada,NA,10/15/2018,Oven,Stephen James,500,500,0.00%
I-1152,Berlin,Germany,EMEA,04-09-18,Washing Machine,Paul Mannion,800,496,38.00%
I-1153,Tel Aviv,Israel,EMEA,8/31/2018,Coffee grinder,Jacob Percival,70,69,1.43%
I-1154,Bangalore,India,APAC,8/18/2018,Iron,Paul Rule,30,29,3.33%
I-1155,Rome,Italy,EMEA,6/15/2016,Coffee grinder,Steven Bell,70,65,7.14%
I-1156,Delhi,India,APAC,05-04-16,Microwave,Geoffrey Patel,80,78,2.50%
I-1157,Shanghai,China,APAC,6/16/2015,Blender,Alen Dinan,50,39,22.00%
I-1158,Ho Chi Minh City,Vietnam,APAC,4/15/2017,Iron,Rosemary Aziz,30,28,6.67%
I-1159,Istanbul,Turkey,EMEA,6/25/2015,Dishwasher,Cordia Alston,500,315,37.00%
I-1160,Tijuana,Mexico,LATAM,05-05-16,Iron,Kevin McLauchlin,30,29,3.33%
I-1161,Dubai,UAE,EMEA,5/19/2016,Air conditioner,Marie Whitfield,700,595,15.00%
I-1162,London,UK,EMEA,2/26/2014,Oven,Philip Dewar,500,500,0.00%
I-1163,Tijuana,Mexico,LATAM,11/26/2014,Vacuum Cleaner,Gillian Allnutt,250,243,2.80%
I-1164,Kansas City,USA,NA,1/26/2014,Toaster,Robert Arnold,50,40,20.00%
I-1165,Osaka,Japan,APAC,4/26/2015,Coffee grinder,Neil McAvoy,70,47,32.86%
I-1166,Rome,Italy,EMEA,06-04-15,Blender,Andrew Hirst,50,46,8.00%
I-1167,Warsaw,Poland,EMEA,03-06-15,Oven,Robert Brook,500,500,0.00%
I-1168,Mexico City,Mexico,LATAM,3/25/2017,Microwave,Malcolm Griffith,80,77,3.75%
I-1169,Dublin,Ireland,EMEA,1/16/2018,Blender,Alison Younger,50,43,14.00%
I-1170,Delhi,India,APAC,07-08-18,Ceiling fan,Steven Batty,150,143,4.67%
I-1171,Bangkok,Thailand,APAC,09-06-15,Refrigerator,John Jenkins,1000,610,39.00%
I-1172,Tel Aviv,Israel,EMEA,05-06-14,Toaster,Jacob Percival,50,41,18.00%
I-1173,Chicago,USA,NA,6/20/2015,Iron,Nicholas Knight,30,29,3.33%
I-1174,Berlin,Germany,EMEA,10/29/2014,Microwave,Paul Mannion,80,70,12.50%
I-1175,Istanbul,Turkey,EMEA,10-12-18,Vacuum Cleaner,David Philp,250,240,4.00%
I-1176,Madria,Spain,EMEA,5/20/2018,Iron,Roy Nunes,30,28,6.67%
I-1177,Delhi,India,APAC,1/21/2018,Coffee grinder,Glen Campbell,70,64,8.57%
I-1178,Seattle,USA,NA,7/15/2015,Coffee grinder,Lesleyann Pope,70,51,27.14%
I-1179,Sao Paolo,Brazil,LATAM,11-07-15,Toaster,Stephen Smith,50,41,18.00%
I-1180,Lima,Peru,LATAM,7/26/2018,Oven,William Lant,500,490,2.00%
I-1181,Lima,Peru,LATAM,6/16/2014,Oven,Christopher Cresswell,500,490,2.00%
I-1182,Santiago,Chile,LATAM,09-07-15,Refrigerator,Ram Mathews,1000,910,9.00%
I-1183,Buenos Aires,Argentina,LATAM,8/19/2016,Iron,Naeem Perry,30,28,6.67%
I-1184,Warsaw,Poland,EMEA,01-02-14,Toaster,Anthony Connolly,50,44,12.00%
I-1185,Madria,Spain,EMEA,5/25/2016,Microwave,Howard Jones,80,75,6.25%
I-1186,Dubai,UAE,EMEA,6/22/2015,Vacuum Cleaner,Brenda Lightfoot,250,225,10.00%
I-1187,Istanbul,Turkey,EMEA,9/24/2016,Iron,Chloe Lyons,30,30,0.00%
I-1188,Buenos Aires,Argentina,LATAM,9/21/2014,Vacuum Cleaner,Abdul Heywood,250,210,16.00%
I-1189,Moscow,Russia,EMEA,4/26/2017,Vacuum Cleaner,Rita Hill,250,250,0.00%
I-1190,Warsaw,Poland,EMEA,12/27/2017,Dishwasher,Tony Green,500,480,4.00%
I-1191,Sydney,Australia,APAC,04-03-16,Refrigerator,Armand Ahmed,1000,970,3.00%
I-1192,Bucharest,Romania,EMEA,7/21/2014,Ceiling fan,Geoffrey Shiner,150,144,4.00%
I-1193,Kansas City,USA,NA,3/26/2017,Air conditioner,Robert Arnold,700,637,9.00%
I-1194,Jerusalem,Israel,EMEA,4/13/2016,Coffee grinder,Isla Parsons,70,63,10.00%
I-1195,Jerusalem,Israel,EMEA,05-07-18,Air conditioner,John Bond,700,672,4.00%
I-1196,Shanghai,China,APAC,1/27/2015,Blender,Christopher Snape,50,42,16.00%
I-1197,Prague,Czech Republic,EMEA,11/30/2018,Microwave,Stephen Nolan,80,78,2.50%
I-1198,Santiago,Chile,LATAM,11/25/2017,Toaster,Julia Hurren,50,49,2.00%
I-1199,New York,USA,NA,05-01-14,Vacuum Cleaner,Simon Hirst,250,193,22.80%
I-1200,Moscow,Russia,EMEA,2/16/2017,Microwave,Alexander Hillier,80,76,5.00%
I-1201,Kansas City,USA,NA,10/23/2015,Air conditioner,Christina Pedley,700,672,4.00%
I-1202,Amsterdam,Netherlands,EMEA,12/26/2015,Iron,Danny Grant,30,28,6.67%
I-1203,Istanbul,Turkey,EMEA,08-11-14,Microwave,Francis Hall,80,66,17.50%
I-1204,Dubai,UAE,EMEA,08-06-15,Blender,Marie Whitfield,50,48,4.00%
I-1205,Amsterdam,Netherlands,EMEA,12-02-14,Dishwasher,Alan Evora,500,370,26.00%
I-1206,Kansas City,USA,NA,1/25/2016,Microwave,Xun Simms,80,72,10.00%
I-1207,Birmingham,UK,EMEA,1/26/2015,Microwave,Gustavo Taiwo,80,58,27.50%
I-1208,Toronto,Canada,NA,03-10-18,Microwave,James Hammond,80,73,8.75%
I-1209,Los Angeles,USA,NA,06-03-15,Washing Machine,Colin Matthews,800,776,3.00%
I-1210,Chicago,USA,NA,8/26/2018,Ceiling fan,Barry Baldwin,150,147,2.00%
I-1211,Sao Paolo,Brazil,LATAM,09-01-16,Ceiling fan,Elizabeth Holloway,150,134,10.67%
I-1212,Warsaw,Poland,EMEA,7/15/2016,Iron,Anthony Connolly,30,8,73.33%
I-1213,Dubai,UAE,EMEA,11/29/2014,Ceiling fan,Peter Kelly,150,135,10.00%
I-1214,Santiago,Chile,LATAM,9/22/2014,Coffee grinder,Julia Hurren,70,59,15.71%
I-1215,Bangalore,India,APAC,12/20/2017,Refrigerator,Paul Rule,1000,500,50.00%
I-1216,Los Angeles,USA,NA,2/19/2017,Dishwasher,Christopher Kitching,500,495,1.00%
I-1217,Bucharest,Romania,EMEA,2/16/2018,Toaster,Constance Tidey,50,49,2.00%
I-1218,Toronto,Canada,NA,10-01-14,Blender,Michael Patel,50,48,4.00%
I-1219,Osaka,Japan,APAC,04-09-15,Air conditioner,Tracy Stanley,700,560,20.00%
I-1220,Bangalore,India,APAC,04-08-14,Refrigerator,Stuart Sykes,1000,500,50.00%
I-1221,Los Angeles,USA,NA,8/13/2018,Oven,Christopher Kitching,500,495,1.00%
I-1222,Chicago,USA,NA,04-10-16,Iron,Marie Foster,30,29,3.33%
I-1223,San Fransisco,USA,NA,06-07-14,Blender,Gary Acheampong,50,44,12.00%
I-1224,Jerusalem,Israel,EMEA,03-09-14,Refrigerator,John Bond,1000,710,29.00%
I-1225,San Fransisco,USA,NA,4/16/2016,Ceiling fan,John Osborne,150,150,0.00%
I-1226,Osaka,Japan,APAC,10/23/2016,Toaster,Paul Atkins,50,44,12.00%
I-1227,Mexico City,Mexico,LATAM,05-03-15,Iron,Denise Rodgers,30,24,20.00%
I-1228,Santiago,Chile,LATAM,7/31/2015,Vacuum Cleaner,Julia Hurren,250,163,34.80%
I-1229,Bangkok,Thailand,APAC,08-10-18,Microwave,Arthur Moncrieff,80,78,2.50%
I-1230,Dublin,Ireland,EMEA,7/22/2018,Microwave,Alison Younger,80,78,2.50%
I-1231,Shanghai,China,APAC,06-06-17,Air conditioner,Alen Dinan,700,651,7.00%
I-1232,Athens,Greece,EMEA,7/14/2015,Toaster,Aidan Perrott,50,36,28.00%
I-1233,Warsaw,Poland,EMEA,4/21/2014,Oven,Alexandra Wright,500,500,0.00%
I-1234,Madria,Spain,EMEA,7/26/2015,Ceiling fan,Zhan Whitfield,150,140,6.67%
I-1235,Vienna,Austria,EMEA,04-12-17,Air conditioner,Daniel Henderson,700,700,0.00%
I-1236,Ho Chi Minh City,Vietnam,APAC,12-04-17,Ceiling fan,Barbara Love,150,144,4.00%
I-1237,Berlin,Germany,EMEA,9/23/2017,Dishwasher,Paul Sherwin,500,465,7.00%
I-1238,Kuala Lumpur,Malaysia,APAC,05-03-16,Toaster,Ian Baker,50,50,0.00%
I-1239,Bangkok,Thailand,APAC,11-03-15,Blender,Nicole Marshall,50,49,2.00%
I-1240,Seattle,USA,NA,8/17/2014,Toaster,Susan Toye,50,44,12.00%
I-1241,Berlin,Germany,EMEA,10/21/2016,Oven,Paul Mannion,500,490,2.00%
I-1242,Berlin,Germany,EMEA,01-07-18,Air conditioner,Natasha Carvalho,700,623,11.00%
I-1243,Kansas City,USA,NA,11-06-14,Air conditioner,Ronnette Stocks,700,574,18.00%
I-1244,Tokyo,Japan,APAC,1/27/2016,Coffee grinder,Pauline Pope,70,68,2.86%
I-1245,Seoul,South Korea,APAC,9/26/2018,Coffee grinder,Roger Scott,70,69,1.43%
I-1246,Santiago,Chile,LATAM,11-03-16,Iron,Ram Mathews,30,29,3.33%
I-1247,Toronto,Canada,NA,9/16/2018,Washing Machine,Alison Storey,800,696,13.00%
I-1248,Istanbul,Turkey,EMEA,4/14/2016,Air conditioner,David Philp,700,602,14.00%
I-1249,Kansas City,USA,NA,08-04-14,Toaster,Douglas Davies,50,40,20.00%
I-1250,Ho Chi Minh City,Vietnam,APAC,05-04-17,Blender,Susan Passey,50,50,0.00%
I-1251,Santiago,Chile,LATAM,11/22/2017,Toaster,Bruce McPhee,50,49,2.00%
I-1252,Riyadh,Saudi Arabia,EMEA,7/19/2014,Dishwasher,Victoria Sherwin,500,425,15.00%
I-1253,Warsaw,Poland,EMEA,9/21/2018,Oven,Alexandra Wright,500,500,0.00%
I-1254,Istanbul,Turkey,EMEA,9/30/2015,Washing Machine,Bryan Mason,800,680,15.00%
I-1255,Tel Aviv,Israel,EMEA,12-12-17,Ceiling fan,Rebecca Delo,150,144,4.00%
I-1256,Vienna,Austria,EMEA,06-02-16,Refrigerator,Peter Thompson,1000,680,32.00%
I-1257,Sao Paolo,Brazil,LATAM,12/30/2017,Ceiling fan,Cheryl Tubbs,150,140,6.67%
I-1258,Jerusalem,Israel,EMEA,5/20/2017,Iron,Abu Moore,30,28,6.67%
I-1259,Bogota,Colombia,LATAM,1/23/2014,Washing Machine,Antony Westlake,800,544,32.00%
I-1260,Toronto,Canada,NA,3/18/2016,Toaster,Robin Hall,50,47,6.00%
I-1261,Jerusalem,Israel,EMEA,7/20/2014,Microwave,Carole Owen,80,60,25.00%
I-1262,Kuala Lumpur,Malaysia,APAC,6/17/2018,Iron,Rachel Oliver,30,26,13.33%
I-1263,Kansas City,USA,NA,9/23/2016,Oven,Ronnette Stocks,500,495,1.00%
I-1264,Guangzhou,China,APAC,09-05-14,Refrigerator,Carl Snape,1000,620,38.00%
I-1265,New York,USA,NA,3/14/2018,Oven,John Bull,500,490,2.00%
I-1266,Athens,Greece,EMEA,11-08-14,Iron,Charles Ali,30,21,30.00%
I-1267,Guangzhou,China,APAC,5/28/2015,Iron,Wolfgang Carvalho,30,20,33.33%
I-1268,Shanghai,China,APAC,6/19/2015,Refrigerator,Michelle Murray,1000,910,9.00%
I-1269,Bangkok,Thailand,APAC,10/23/2016,Coffee grinder,Nicole Marshall,70,68,2.86%
I-1270,Bogota,Colombia,LATAM,3/27/2016,Air conditioner,Gary Percival,700,623,11.00%
I-1271,Athens,Greece,EMEA,2/28/2014,Oven,Gary Roberts,500,490,2.00%
I-1272,Seoul,South Korea,APAC,04-11-16,Toaster,Leonard Green,50,50,0.00%
I-1273,Santiago,Chile,LATAM,6/26/2015,Refrigerator,Richard James,1000,790,21.00%
I-1274,Sydney,Australia,APAC,9/19/2014,Ceiling fan,Christine Davies,150,144,4.00%
I-1275,Bucharest,Romania,EMEA,7/14/2015,Refrigerator,Richard Rowe,1000,960,4.00%
I-1276,Vienna,Austria,EMEA,1/17/2018,Dishwasher,Bryan Clement,500,445,11.00%
I-1277,Bangalore,India,APAC,10/23/2018,Dishwasher,Paresh Mathews,500,435,13.00%
I-1278,Capetown,South Africa,EMEA,8/27/2014,Oven,Thomas Davies,500,490,2.00%
I-1279,Bogota,Colombia,LATAM,10/14/2017,Vacuum Cleaner,Ronald Curtis,250,230,8.00%
I-1280,Santiago,Chile,LATAM,12-12-15,Washing Machine,Ram Mathews,800,472,41.00%
I-1281,Cairo,Egypt,EMEA,11-02-16,Refrigerator,David Amos,1000,510,49.00%
I-1282,Riyadh,Saudi Arabia,EMEA,9/22/2016,Vacuum Cleaner,Danny Brooks,250,230,8.00%
I-1283,Cairo,Egypt,EMEA,01-04-18,Blender,John Barnett,50,48,4.00%
